date,time,hour,ac,month,day
2023-01-03,15:00:00,15,0.43,1,1
2023-01-03,16:00:00,16,0.39,1,1
2023-01-03,17:00:00,17,0.5,1,1
2023-01-03,18:00:00,18,0.44,1,1
2023-01-03,19:00:00,19,0.3,1,1
2023-01-03,20:00:00,20,0.46,1,1
2023-01-03,21:00:00,21,0.35,1,1
2023-01-03,22:00:00,22,0.42,1,1
2023-01-03,23:00:00,23,0.28,1,1
2023-01-04,00:00:00,0,0.35,1,2
2023-01-04,01:00:00,1,0.38,1,2
2023-01-04,02:00:00,2,0.43,1,2
2023-01-04,03:00:00,3,0.41,1,2
2023-01-04,04:00:00,4,0.1,1,2
2023-01-04,05:00:00,5,0.4,1,2
2023-01-04,06:00:00,6,0.19,1,2
2023-01-04,07:00:00,7,0.31,1,2
2023-01-04,08:00:00,8,0.35,1,2
2023-01-04,09:00:00,9,0.12,1,2
2023-01-04,10:00:00,10,0.21,1,2
2023-01-04,11:00:00,11,0.49,1,2
2023-01-04,12:00:00,12,0.37,1,2
2023-01-04,13:00:00,13,0.35,1,2
2023-01-04,14:00:00,14,0.25,1,2
2023-01-04,15:00:00,15,0.49,1,2
2023-01-04,16:00:00,16,0.12,1,2
2023-01-04,17:00:00,17,0.41,1,2
2023-01-04,18:00:00,18,0.48,1,2
2023-01-04,19:00:00,19,0.15,1,2
2023-01-04,20:00:00,20,0.32,1,2
2023-01-04,21:00:00,21,0.4,1,2
2023-01-04,22:00:00,22,0.24,1,2
2023-01-04,23:00:00,23,0.31,1,2
2023-01-05,00:00:00,0,0.16,1,3
2023-01-05,01:00:00,1,0.3,1,3
2023-01-05,02:00:00,2,0.15,1,3
2023-01-05,03:00:00,3,0.46,1,3
2023-01-05,04:00:00,4,0.17,1,3
2023-01-05,05:00:00,5,0.18,1,3
2023-01-05,06:00:00,6,0.35,1,3
2023-01-05,07:00:00,7,0.42,1,3
2023-01-05,08:00:00,8,0.35,1,3
2023-01-05,09:00:00,9,0.39,1,3
2023-01-05,10:00:00,10,0.31,1,3
2023-01-05,11:00:00,11,0.18,1,3
2023-01-05,12:00:00,12,0.42,1,3
2023-01-05,13:00:00,13,0.27,1,3
2023-01-05,14:00:00,14,0.24,1,3
2023-01-05,15:00:00,15,0.2,1,3
2023-01-05,16:00:00,16,0.13,1,3
2023-01-05,17:00:00,17,0.49,1,3
2023-01-05,18:00:00,18,0.47,1,3
2023-01-05,19:00:00,19,0.23,1,3
2023-01-05,20:00:00,20,0.22,1,3
2023-01-05,21:00:00,21,0.23,1,3
2023-01-05,22:00:00,22,0.2,1,3
2023-01-05,23:00:00,23,0.24,1,3
2023-01-06,00:00:00,0,0.48,1,4
2023-01-06,01:00:00,1,0.16,1,4
2023-01-06,02:00:00,2,0.37,1,4
2023-01-06,03:00:00,3,0.28,1,4
2023-01-06,04:00:00,4,0.19,1,4
2023-01-06,05:00:00,5,0.15,1,4
2023-01-06,06:00:00,6,0.35,1,4
2023-01-06,07:00:00,7,0.2,1,4
2023-01-06,08:00:00,8,0.24,1,4
2023-01-06,09:00:00,9,0.42,1,4
2023-01-06,10:00:00,10,0.38,1,4
2023-01-06,11:00:00,11,0.33,1,4
2023-01-06,12:00:00,12,0.3,1,4
2023-01-06,13:00:00,13,0.38,1,4
2023-01-06,14:00:00,14,0.27,1,4
2023-01-06,15:00:00,15,0.49,1,4
2023-01-06,16:00:00,16,0.34,1,4
2023-01-06,17:00:00,17,0.23,1,4
2023-01-06,18:00:00,18,0.4,1,4
2023-01-06,19:00:00,19,0.3,1,4
2023-01-06,20:00:00,20,0.11,1,4
2023-01-06,21:00:00,21,0.13,1,4
2023-01-06,22:00:00,22,0.18,1,4
2023-01-06,23:00:00,23,0.33,1,4
2023-01-07,00:00:00,0,0.26,1,5
2023-01-07,01:00:00,1,0.25,1,5
2023-01-07,02:00:00,2,0.39,1,5
2023-01-07,03:00:00,3,0.11,1,5
2023-01-07,04:00:00,4,0.14,1,5
2023-01-07,05:00:00,5,0.37,1,5
2023-01-07,06:00:00,6,0.18,1,5
2023-01-07,07:00:00,7,0.43,1,5
2023-01-07,08:00:00,8,0.35,1,5
2023-01-07,09:00:00,9,0.41,1,5
2023-01-07,10:00:00,10,0.27,1,5
2023-01-07,11:00:00,11,0.16,1,5
2023-01-07,12:00:00,12,0.11,1,5
2023-01-07,13:00:00,13,0.36,1,5
2023-01-07,14:00:00,14,0.45,1,5
2023-01-07,15:00:00,15,0.27,1,5
2023-01-07,16:00:00,16,0.13,1,5
2023-01-07,17:00:00,17,0.39,1,5
2023-01-07,18:00:00,18,0.39,1,5
2023-01-07,19:00:00,19,0.3,1,5
2023-01-07,20:00:00,20,0.39,1,5
2023-01-07,21:00:00,21,0.42,1,5
2023-01-07,22:00:00,22,0.47,1,5
2023-01-07,23:00:00,23,0.45,1,5
2023-01-08,00:00:00,0,0.2,1,6
2023-01-08,01:00:00,1,0.38,1,6
2023-01-08,02:00:00,2,0.38,1,6
2023-01-08,03:00:00,3,0.44,1,6
2023-01-08,04:00:00,4,0.19,1,6
2023-01-08,05:00:00,5,0.13,1,6
2023-01-08,06:00:00,6,0.45,1,6
2023-01-08,07:00:00,7,0.45,1,6
2023-01-08,08:00:00,8,0.41,1,6
2023-01-08,09:00:00,9,0.41,1,6
2023-01-08,10:00:00,10,0.24,1,6
2023-01-08,11:00:00,11,0.5,1,6
2023-01-08,12:00:00,12,0.41,1,6
2023-01-08,13:00:00,13,0.35,1,6
2023-01-08,14:00:00,14,0.34,1,6
2023-01-08,15:00:00,15,0.41,1,6
2023-01-08,16:00:00,16,0.5,1,6
2023-01-08,17:00:00,17,0.43,1,6
2023-01-08,18:00:00,18,0.14,1,6
2023-01-08,19:00:00,19,0.44,1,6
2023-01-08,20:00:00,20,0.25,1,6
2023-01-08,21:00:00,21,0.37,1,6
2023-01-08,22:00:00,22,0.43,1,6
2023-01-08,23:00:00,23,0.42,1,6
2023-01-09,00:00:00,0,0.38,1,0
2023-01-09,01:00:00,1,0.45,1,0
2023-01-09,02:00:00,2,0.16,1,0
2023-01-09,03:00:00,3,0.35,1,0
2023-01-09,04:00:00,4,0.41,1,0
2023-01-09,05:00:00,5,0.35,1,0
2023-01-09,06:00:00,6,0.22,1,0
2023-01-09,07:00:00,7,0.12,1,0
2023-01-09,08:00:00,8,0.4,1,0
2023-01-09,09:00:00,9,0.37,1,0
2023-01-09,10:00:00,10,0.17,1,0
2023-01-09,11:00:00,11,0.36,1,0
2023-01-09,12:00:00,12,0.27,1,0
2023-01-09,13:00:00,13,0.46,1,0
2023-01-09,14:00:00,14,0.45,1,0
2023-01-09,15:00:00,15,0.41,1,0
2023-01-09,16:00:00,16,0.47,1,0
2023-01-09,17:00:00,17,0.37,1,0
2023-01-09,18:00:00,18,0.21,1,0
2023-01-09,19:00:00,19,0.26,1,0
2023-01-09,20:00:00,20,0.41,1,0
2023-01-09,21:00:00,21,0.16,1,0
2023-01-09,22:00:00,22,0.23,1,0
2023-01-09,23:00:00,23,0.26,1,0
2023-01-10,00:00:00,0,0.17,1,1
2023-01-10,01:00:00,1,0.12,1,1
2023-01-10,02:00:00,2,0.24,1,1
2023-01-10,03:00:00,3,0.28,1,1
2023-01-10,04:00:00,4,0.2,1,1
2023-01-10,05:00:00,5,0.17,1,1
2023-01-10,06:00:00,6,0.19,1,1
2023-01-10,07:00:00,7,0.13,1,1
2023-01-10,08:00:00,8,0.4,1,1
2023-01-10,09:00:00,9,0.45,1,1
2023-01-10,10:00:00,10,0.46,1,1
2023-01-10,11:00:00,11,0.35,1,1
2023-01-10,12:00:00,12,0.17,1,1
2023-01-10,13:00:00,13,0.2,1,1
2023-01-10,14:00:00,14,0.17,1,1
2023-01-10,15:00:00,15,0.41,1,1
2023-01-10,16:00:00,16,0.17,1,1
2023-01-10,17:00:00,17,0.35,1,1
2023-01-10,18:00:00,18,0.37,1,1
2023-01-10,19:00:00,19,0.18,1,1
2023-01-10,20:00:00,20,0.12,1,1
2023-01-10,21:00:00,21,0.12,1,1
2023-01-10,22:00:00,22,0.36,1,1
2023-01-10,23:00:00,23,0.16,1,1
2023-01-11,00:00:00,0,0.49,1,2
2023-01-11,01:00:00,1,0.38,1,2
2023-01-11,02:00:00,2,0.45,1,2
2023-01-11,03:00:00,3,0.19,1,2
2023-01-11,04:00:00,4,0.5,1,2
2023-01-11,05:00:00,5,0.33,1,2
2023-01-11,06:00:00,6,0.42,1,2
2023-01-11,07:00:00,7,0.32,1,2
2023-01-11,08:00:00,8,0.26,1,2
2023-01-11,09:00:00,9,0.34,1,2
2023-01-11,10:00:00,10,0.31,1,2
2023-01-11,11:00:00,11,0.33,1,2
2023-01-11,12:00:00,12,0.48,1,2
2023-01-11,13:00:00,13,0.2,1,2
2023-01-11,14:00:00,14,0.29,1,2
2023-01-11,15:00:00,15,0.22,1,2
2023-01-11,16:00:00,16,0.17,1,2
2023-01-11,17:00:00,17,0.33,1,2
2023-01-11,18:00:00,18,0.12,1,2
2023-01-11,19:00:00,19,0.19,1,2
2023-01-11,20:00:00,20,0.24,1,2
2023-01-11,21:00:00,21,0.37,1,2
2023-01-11,22:00:00,22,0.39,1,2
2023-01-11,23:00:00,23,0.34,1,2
2023-01-12,00:00:00,0,0.5,1,3
2023-01-12,01:00:00,1,0.38,1,3
2023-01-12,02:00:00,2,0.21,1,3
2023-01-12,03:00:00,3,0.19,1,3
2023-01-12,04:00:00,4,0.19,1,3
2023-01-12,05:00:00,5,0.23,1,3
2023-01-12,06:00:00,6,0.29,1,3
2023-01-12,07:00:00,7,0.18,1,3
2023-01-12,08:00:00,8,0.37,1,3
2023-01-12,09:00:00,9,0.5,1,3
2023-01-12,10:00:00,10,0.14,1,3
2023-01-12,11:00:00,11,0.11,1,3
2023-01-12,12:00:00,12,0.32,1,3
2023-01-12,13:00:00,13,0.47,1,3
2023-01-12,14:00:00,14,0.15,1,3
2023-01-12,15:00:00,15,0.42,1,3
2023-01-12,16:00:00,16,0.24,1,3
2023-01-12,17:00:00,17,0.47,1,3
2023-01-12,18:00:00,18,0.26,1,3
2023-01-12,19:00:00,19,0.49,1,3
2023-01-12,20:00:00,20,0.28,1,3
2023-01-12,21:00:00,21,0.16,1,3
2023-01-12,22:00:00,22,0.12,1,3
2023-01-12,23:00:00,23,0.22,1,3
2023-01-13,00:00:00,0,0.43,1,4
2023-01-13,01:00:00,1,0.15,1,4
2023-01-13,02:00:00,2,0.43,1,4
2023-01-13,03:00:00,3,0.11,1,4
2023-01-13,04:00:00,4,0.1,1,4
2023-01-13,05:00:00,5,0.14,1,4
2023-01-13,06:00:00,6,0.16,1,4
2023-01-13,07:00:00,7,0.28,1,4
2023-01-13,08:00:00,8,0.38,1,4
2023-01-13,09:00:00,9,0.28,1,4
2023-01-13,10:00:00,10,0.13,1,4
2023-01-13,11:00:00,11,0.12,1,4
2023-01-13,12:00:00,12,0.48,1,4
2023-01-13,13:00:00,13,0.36,1,4
2023-01-13,14:00:00,14,0.21,1,4
2023-01-13,15:00:00,15,0.35,1,4
2023-01-13,16:00:00,16,0.36,1,4
2023-01-13,17:00:00,17,0.49,1,4
2023-01-13,18:00:00,18,0.15,1,4
2023-01-13,19:00:00,19,0.28,1,4
2023-01-13,20:00:00,20,0.45,1,4
2023-01-13,21:00:00,21,0.47,1,4
2023-01-13,22:00:00,22,0.41,1,4
2023-01-13,23:00:00,23,0.12,1,4
2023-01-14,00:00:00,0,0.3,1,5
2023-01-14,01:00:00,1,0.33,1,5
2023-01-14,02:00:00,2,0.1,1,5
2023-01-14,03:00:00,3,0.18,1,5
2023-01-14,04:00:00,4,0.32,1,5
2023-01-14,05:00:00,5,0.25,1,5
2023-01-14,06:00:00,6,0.28,1,5
2023-01-14,07:00:00,7,0.1,1,5
2023-01-14,08:00:00,8,0.36,1,5
2023-01-14,09:00:00,9,0.42,1,5
2023-01-14,10:00:00,10,0.41,1,5
2023-01-14,11:00:00,11,0.27,1,5
2023-01-14,12:00:00,12,0.36,1,5
2023-01-14,13:00:00,13,0.25,1,5
2023-01-14,14:00:00,14,0.11,1,5
2023-01-14,15:00:00,15,0.27,1,5
2023-01-14,16:00:00,16,0.15,1,5
2023-01-14,17:00:00,17,0.16,1,5
2023-01-14,18:00:00,18,0.12,1,5
2023-01-14,19:00:00,19,0.4,1,5
2023-01-14,20:00:00,20,0.46,1,5
2023-01-14,21:00:00,21,0.37,1,5
2023-01-14,22:00:00,22,0.39,1,5
2023-01-14,23:00:00,23,0.49,1,5
2023-01-15,00:00:00,0,0.44,1,6
2023-01-15,01:00:00,1,0.13,1,6
2023-01-15,02:00:00,2,0.17,1,6
2023-01-15,03:00:00,3,0.36,1,6
2023-01-15,04:00:00,4,0.12,1,6
2023-01-15,05:00:00,5,0.4,1,6
2023-01-15,06:00:00,6,0.2,1,6
2023-01-15,07:00:00,7,0.29,1,6
2023-01-15,08:00:00,8,0.43,1,6
2023-01-15,09:00:00,9,0.21,1,6
2023-01-15,10:00:00,10,0.47,1,6
2023-01-15,11:00:00,11,0.44,1,6
2023-01-15,12:00:00,12,0.17,1,6
2023-01-15,13:00:00,13,0.13,1,6
2023-01-15,14:00:00,14,0.49,1,6
2023-01-15,15:00:00,15,0.16,1,6
2023-01-15,16:00:00,16,0.13,1,6
2023-01-15,17:00:00,17,0.38,1,6
2023-01-15,18:00:00,18,0.3,1,6
2023-01-15,19:00:00,19,0.14,1,6
2023-01-15,20:00:00,20,0.36,1,6
2023-01-15,21:00:00,21,0.35,1,6
2023-01-15,22:00:00,22,0.17,1,6
2023-01-15,23:00:00,23,0.38,1,6
2023-01-16,00:00:00,0,0.36,1,0
2023-01-16,01:00:00,1,0.2,1,0
2023-01-16,02:00:00,2,0.28,1,0
2023-01-16,03:00:00,3,0.27,1,0
2023-01-16,04:00:00,4,0.22,1,0
2023-01-16,05:00:00,5,0.39,1,0
2023-01-16,06:00:00,6,0.38,1,0
2023-01-16,07:00:00,7,0.22,1,0
2023-01-16,08:00:00,8,0.46,1,0
2023-01-16,09:00:00,9,0.13,1,0
2023-01-16,10:00:00,10,0.44,1,0
2023-01-16,11:00:00,11,0.14,1,0
2023-01-16,12:00:00,12,0.31,1,0
2023-01-16,13:00:00,13,0.46,1,0
2023-01-16,14:00:00,14,0.19,1,0
2023-01-16,15:00:00,15,0.48,1,0
2023-01-16,16:00:00,16,0.2,1,0
2023-01-16,17:00:00,17,0.49,1,0
2023-01-16,18:00:00,18,0.18,1,0
2023-01-16,19:00:00,19,0.14,1,0
2023-01-16,20:00:00,20,0.47,1,0
2023-01-16,21:00:00,21,0.3,1,0
2023-01-16,22:00:00,22,0.21,1,0
2023-01-16,23:00:00,23,0.34,1,0
2023-01-17,00:00:00,0,0.35,1,1
2023-01-17,01:00:00,1,0.15,1,1
2023-01-17,02:00:00,2,0.4,1,1
2023-01-17,03:00:00,3,0.37,1,1
2023-01-17,04:00:00,4,0.35,1,1
2023-01-17,05:00:00,5,0.31,1,1
2023-01-17,06:00:00,6,0.33,1,1
2023-01-17,07:00:00,7,0.36,1,1
2023-01-17,08:00:00,8,0.22,1,1
2023-01-17,09:00:00,9,0.47,1,1
2023-01-17,10:00:00,10,0.38,1,1
2023-01-17,11:00:00,11,0.46,1,1
2023-01-17,12:00:00,12,0.24,1,1
2023-01-17,13:00:00,13,0.25,1,1
2023-01-17,14:00:00,14,0.29,1,1
2023-01-17,15:00:00,15,0.11,1,1
2023-01-17,16:00:00,16,0.22,1,1
2023-01-17,17:00:00,17,0.34,1,1
2023-01-17,18:00:00,18,0.25,1,1
2023-01-17,19:00:00,19,0.4,1,1
2023-01-17,20:00:00,20,0.12,1,1
2023-01-17,21:00:00,21,0.33,1,1
2023-01-17,22:00:00,22,0.5,1,1
2023-01-17,23:00:00,23,0.26,1,1
2023-01-18,00:00:00,0,0.46,1,2
2023-01-18,01:00:00,1,0.15,1,2
2023-01-18,02:00:00,2,0.29,1,2
2023-01-18,03:00:00,3,0.21,1,2
2023-01-18,04:00:00,4,0.33,1,2
2023-01-18,05:00:00,5,0.33,1,2
2023-01-18,06:00:00,6,0.44,1,2
2023-01-18,07:00:00,7,0.35,1,2
2023-01-18,08:00:00,8,0.38,1,2
2023-01-18,09:00:00,9,0.18,1,2
2023-01-18,10:00:00,10,0.22,1,2
2023-01-18,11:00:00,11,0.4,1,2
2023-01-18,12:00:00,12,0.14,1,2
2023-01-18,13:00:00,13,0.24,1,2
2023-01-18,14:00:00,14,0.31,1,2
2023-01-18,15:00:00,15,0.12,1,2
2023-01-18,16:00:00,16,0.42,1,2
2023-01-18,17:00:00,17,0.19,1,2
2023-01-18,18:00:00,18,0.15,1,2
2023-01-18,19:00:00,19,0.13,1,2
2023-01-18,20:00:00,20,0.32,1,2
2023-01-18,21:00:00,21,0.21,1,2
2023-01-18,22:00:00,22,0.1,1,2
2023-01-18,23:00:00,23,0.44,1,2
2023-01-19,00:00:00,0,0.24,1,3
2023-01-19,01:00:00,1,0.27,1,3
2023-01-19,02:00:00,2,0.3,1,3
2023-01-19,03:00:00,3,0.39,1,3
2023-01-19,04:00:00,4,0.22,1,3
2023-01-19,05:00:00,5,0.48,1,3
2023-01-19,06:00:00,6,0.25,1,3
2023-01-19,07:00:00,7,0.18,1,3
2023-01-19,08:00:00,8,0.34,1,3
2023-01-19,09:00:00,9,0.36,1,3
2023-01-19,10:00:00,10,0.25,1,3
2023-01-19,11:00:00,11,0.11,1,3
2023-01-19,12:00:00,12,0.3,1,3
2023-01-19,13:00:00,13,0.49,1,3
2023-01-19,14:00:00,14,0.31,1,3
2023-01-19,15:00:00,15,0.15,1,3
2023-01-19,16:00:00,16,0.24,1,3
2023-01-19,17:00:00,17,0.44,1,3
2023-01-19,18:00:00,18,0.26,1,3
2023-01-19,19:00:00,19,0.4,1,3
2023-01-19,20:00:00,20,0.5,1,3
2023-01-19,21:00:00,21,0.18,1,3
2023-01-19,22:00:00,22,0.42,1,3
2023-01-19,23:00:00,23,0.47,1,3
2023-01-20,00:00:00,0,0.16,1,4
2023-01-20,01:00:00,1,0.31,1,4
2023-01-20,02:00:00,2,0.42,1,4
2023-01-20,03:00:00,3,0.28,1,4
2023-01-20,04:00:00,4,0.44,1,4
2023-01-20,05:00:00,5,0.38,1,4
2023-01-20,06:00:00,6,0.13,1,4
2023-01-20,07:00:00,7,0.48,1,4
2023-01-20,08:00:00,8,0.29,1,4
2023-01-20,09:00:00,9,0.33,1,4
2023-01-20,10:00:00,10,0.47,1,4
2023-01-20,11:00:00,11,0.39,1,4
2023-01-20,12:00:00,12,0.15,1,4
2023-01-20,13:00:00,13,0.4,1,4
2023-01-20,14:00:00,14,0.33,1,4
2023-01-20,15:00:00,15,0.36,1,4
2023-01-20,16:00:00,16,0.19,1,4
2023-01-20,17:00:00,17,0.48,1,4
2023-01-20,18:00:00,18,0.21,1,4
2023-01-20,19:00:00,19,0.41,1,4
2023-01-20,20:00:00,20,0.23,1,4
2023-01-20,21:00:00,21,0.3,1,4
2023-01-20,22:00:00,22,0.41,1,4
2023-01-20,23:00:00,23,0.27,1,4
2023-01-21,00:00:00,0,0.31,1,5
2023-01-21,01:00:00,1,0.19,1,5
2023-01-21,02:00:00,2,0.4,1,5
2023-01-21,03:00:00,3,0.43,1,5
2023-01-21,04:00:00,4,0.4,1,5
2023-01-21,05:00:00,5,0.38,1,5
2023-01-21,06:00:00,6,0.21,1,5
2023-01-21,07:00:00,7,0.31,1,5
2023-01-21,08:00:00,8,0.39,1,5
2023-01-21,09:00:00,9,0.21,1,5
2023-01-21,10:00:00,10,0.44,1,5
2023-01-21,11:00:00,11,0.25,1,5
2023-01-21,12:00:00,12,0.44,1,5
2023-01-21,13:00:00,13,0.38,1,5
2023-01-21,14:00:00,14,0.39,1,5
2023-01-21,15:00:00,15,0.15,1,5
2023-01-21,16:00:00,16,0.37,1,5
2023-01-21,17:00:00,17,0.46,1,5
2023-01-21,18:00:00,18,0.22,1,5
2023-01-21,19:00:00,19,0.13,1,5
2023-01-21,20:00:00,20,0.12,1,5
2023-01-21,21:00:00,21,0.18,1,5
2023-01-21,22:00:00,22,0.27,1,5
2023-01-21,23:00:00,23,0.15,1,5
2023-01-22,00:00:00,0,0.26,1,6
2023-01-22,01:00:00,1,0.36,1,6
2023-01-22,02:00:00,2,0.22,1,6
2023-01-22,03:00:00,3,0.11,1,6
2023-01-22,04:00:00,4,0.23,1,6
2023-01-22,05:00:00,5,0.16,1,6
2023-01-22,06:00:00,6,0.38,1,6
2023-01-22,07:00:00,7,0.28,1,6
2023-01-22,08:00:00,8,0.49,1,6
2023-01-22,09:00:00,9,0.47,1,6
2023-01-22,10:00:00,10,0.34,1,6
2023-01-22,11:00:00,11,0.18,1,6
2023-01-22,12:00:00,12,0.21,1,6
2023-01-22,13:00:00,13,0.37,1,6
2023-01-22,14:00:00,14,0.47,1,6
2023-01-22,15:00:00,15,0.31,1,6
2023-01-22,16:00:00,16,0.21,1,6
2023-01-22,17:00:00,17,0.35,1,6
2023-01-22,18:00:00,18,0.47,1,6
2023-01-22,19:00:00,19,0.22,1,6
2023-01-22,20:00:00,20,0.41,1,6
2023-01-22,21:00:00,21,0.13,1,6
2023-01-22,22:00:00,22,0.14,1,6
2023-01-22,23:00:00,23,0.24,1,6
2023-01-23,00:00:00,0,0.48,1,0
2023-01-23,01:00:00,1,0.14,1,0
2023-01-23,02:00:00,2,0.37,1,0
2023-01-23,03:00:00,3,0.16,1,0
2023-01-23,04:00:00,4,0.17,1,0
2023-01-23,05:00:00,5,0.13,1,0
2023-01-23,06:00:00,6,0.14,1,0
2023-01-23,07:00:00,7,0.26,1,0
2023-01-23,08:00:00,8,0.27,1,0
2023-01-23,09:00:00,9,0.3,1,0
2023-01-23,10:00:00,10,0.34,1,0
2023-01-23,11:00:00,11,0.26,1,0
2023-01-23,12:00:00,12,0.42,1,0
2023-01-23,13:00:00,13,0.2,1,0
2023-01-23,14:00:00,14,0.44,1,0
2023-01-23,15:00:00,15,0.44,1,0
2023-01-23,16:00:00,16,0.46,1,0
2023-01-23,17:00:00,17,0.49,1,0
2023-01-23,18:00:00,18,0.27,1,0
2023-01-23,19:00:00,19,0.25,1,0
2023-01-23,20:00:00,20,0.38,1,0
2023-01-23,21:00:00,21,0.42,1,0
2023-01-23,22:00:00,22,0.41,1,0
2023-01-23,23:00:00,23,0.35,1,0
2023-01-24,00:00:00,0,0.46,1,1
2023-01-24,01:00:00,1,0.35,1,1
2023-01-24,02:00:00,2,0.23,1,1
2023-01-24,03:00:00,3,0.18,1,1
2023-01-24,04:00:00,4,0.42,1,1
2023-01-24,05:00:00,5,0.23,1,1
2023-01-24,06:00:00,6,0.21,1,1
2023-01-24,07:00:00,7,0.14,1,1
2023-01-24,08:00:00,8,0.11,1,1
2023-01-24,09:00:00,9,0.23,1,1
2023-01-24,10:00:00,10,0.43,1,1
2023-01-24,11:00:00,11,0.5,1,1
2023-01-24,12:00:00,12,0.2,1,1
2023-01-24,13:00:00,13,0.41,1,1
2023-01-24,14:00:00,14,0.41,1,1
2023-01-24,15:00:00,15,0.33,1,1
2023-01-24,16:00:00,16,0.4,1,1
2023-01-24,17:00:00,17,0.47,1,1
2023-01-24,18:00:00,18,0.49,1,1
2023-01-24,19:00:00,19,0.28,1,1
2023-01-24,20:00:00,20,0.3,1,1
2023-01-24,21:00:00,21,0.35,1,1
2023-01-24,22:00:00,22,0.43,1,1
2023-01-24,23:00:00,23,0.44,1,1
2023-01-25,00:00:00,0,0.16,1,2
2023-01-25,01:00:00,1,0.24,1,2
2023-01-25,02:00:00,2,0.45,1,2
2023-01-25,03:00:00,3,0.18,1,2
2023-01-25,04:00:00,4,0.46,1,2
2023-01-25,05:00:00,5,0.23,1,2
2023-01-25,06:00:00,6,0.13,1,2
2023-01-25,07:00:00,7,0.21,1,2
2023-01-25,08:00:00,8,0.49,1,2
2023-01-25,09:00:00,9,0.19,1,2
2023-01-25,10:00:00,10,0.18,1,2
2023-01-25,11:00:00,11,0.13,1,2
2023-01-25,12:00:00,12,0.33,1,2
2023-01-25,13:00:00,13,0.13,1,2
2023-01-25,14:00:00,14,0.28,1,2
2023-01-25,15:00:00,15,0.23,1,2
2023-01-25,16:00:00,16,0.18,1,2
2023-01-25,17:00:00,17,0.24,1,2
2023-01-25,18:00:00,18,0.15,1,2
2023-01-25,19:00:00,19,0.3,1,2
2023-01-25,20:00:00,20,0.16,1,2
2023-01-25,21:00:00,21,0.43,1,2
2023-01-25,22:00:00,22,0.25,1,2
2023-01-25,23:00:00,23,0.42,1,2
2023-01-26,00:00:00,0,0.2,1,3
2023-01-26,01:00:00,1,0.4,1,3
2023-01-26,02:00:00,2,0.47,1,3
2023-01-26,03:00:00,3,0.29,1,3
2023-01-26,04:00:00,4,0.34,1,3
2023-01-26,05:00:00,5,0.11,1,3
2023-01-26,06:00:00,6,0.3,1,3
